strategy_id,strategy_name,category,symbol,signal,signals,filled,fill_rate,win_rate,exp_pnl_per_signal,total_pnl,profit_factor,error,avg_return_pct,med_return_pct,exp_return_pct_per_signal
S166,GapDown strong call,equity_signal,Q,gap_down_strong,11.0,11.0,1.0,0.3636363636363636,-42.62947360855758,-468.9242096941335,0.4143332251949587,,-0.148238222419693,-0.3618023226805774,-0.148238222419693
S167,GapDown weak skip/half,equity_signal,Q,gap_down_weak,12.0,12.0,1.0,0.6666666666666666,64.47096965652088,773.6516358782505,4.212620740599098,,0.3631542803818697,0.3190649947405228,0.3631542803818697
S168,GapUp long put EOD,equity_signal,Q,gap_up,28.0,28.0,1.0,0.3214285714285714,39.84046357016136,1115.5329799645183,1.532930745587462,,0.3104872758968029,-0.3647743739469872,0.3104872758968029
S169,VolumeSpike long call EOD,equity_signal,Q,volume_spike,6.0,0.0,0.0,0.0,0.0,0.0,inf,,0.0,0.0,0.0
S170,Pullback50 long call 3 DTE,equity_signal,Q,pullback50,79.0,21.0,0.2658227848101265,0.9523809523809524,37.13008800952692,2933.2769527526266,108.71117756793812,,1.2218265781411024,0.7743694533963673,0.3247893435564955
S173,MomReversal long call,equity_signal,Q,mom_reversal,8.0,8.0,1.0,1.0,225.43891258239768,1803.5113006591807,inf,,3.35820108807622,2.654067236518646,3.35820108807622
S174,RubberBand long call EOD,equity_signal,Q,rubber_band,10.0,10.0,1.0,0.7,133.81915533108926,1338.1915533108925,14.201737282169578,,0.757135813554303,0.7004774932050772,0.757135813554303
S175,RSIRecovery long call 3 DTE,equity_signal,Q,rsi_recovery,11.0,11.0,1.0,0.2727272727272727,-36.98892360440044,-406.8781596484048,0.4826323937574429,,-0.3037935034778167,-0.5720510082917335,-0.3037935034778167
S176,Seasonal calendar match DTE,equity_signal,Q,seasonal,170.0,53.0,0.3117647058823529,0.4339622641509434,1.6001647933518433,272.0280148698132,1.0958823763848844,,0.0688221745456621,-0.1357298798464723,0.0214563250054123
S177,Regime bull calls only,equity_signal,Q,regime_bull,107.0,29.0,0.2710280373831775,0.5172413793103449,6.768757984148186,724.257104303856,1.7021564137461842,,0.1590551442004295,0.1424730024596124,0.0431084035683407
S178,Regime bear puts only,equity_signal,Q,regime_bear,45.0,11.0,0.2444444444444444,0.4545454545454545,13.098960895691857,589.4532403061337,2.244603429158585,,0.3618791189288265,-0.1473327238151706,0.088459340182602
S179,Regime corr reduced size,equity_signal,Q,regime_corr,25.0,11.0,0.44,0.3636363636363636,-18.756968387765337,-468.9242096941335,0.4143332251949587,,-0.148238222419693,-0.3618023226805774,-0.0652248178646649
S180,Signal IV rank filter,equity_signal,Q,gap_down,23.0,23.0,1.0,0.2608695652173913,-28.75985334944039,-661.4766270371288,0.6196641568723132,,-0.1151083047803114,-0.3618023226805774,-0.1151083047803114
S181,Signal low spread filter,equity_signal,Q,gap_down,23.0,23.0,1.0,0.2608695652173913,-28.75985334944039,-661.4766270371288,0.6196641568723132,,-0.1151083047803114,-0.3618023226805774,-0.1151083047803114
S182,Signal OI filter,equity_signal,Q,gap_down,23.0,23.0,1.0,0.2608695652173913,-28.75985334944039,-661.4766270371288,0.6196641568723132,,-0.1151083047803114,-0.3618023226805774,-0.1151083047803114
S184,Fade low vol gap long put,equity_signal,Q,gap_up_low_vol,11.0,11.0,1.0,0.0909090909090909,-96.1916713457462,-1058.1083848032083,0.0884123928591569,,-0.473331133332411,-0.5885868282039458,-0.473331133332411
S185,ORB breakout call 15m,intraday,Q,orb_breakout,74.0,19.0,0.2567567567567567,1.0,40.96197955356537,3031.186486963838,inf,,0.9467370730785336,0.4999879039734373,0.2430811403850289
S186,ORB breakdown put 15m,intraday,Q,orb_breakdown,55.0,22.0,0.4,1.0,141.6676783700428,7791.722310352354,inf,,1.9005169209118584,1.725431097459865,0.7602067683647434
S187,First hour gap fade call,intraday,Q,gap_down,23.0,23.0,1.0,0.2608695652173913,-28.75985334944039,-661.4766270371288,0.6196641568723132,,-0.1151083047803114,-0.3618023226805774,-0.1151083047803114
S188,VWAP reclaim long call,intraday,Q,vwap_reclaim,36.0,25.0,0.6944444444444444,0.92,85.62478622283207,3082.492304021954,116.72214701463058,,0.7287838305560936,0.3625224880311019,0.5060998823306205
S189,VWAP rejection long put,intraday,Q,vwap_reject,37.0,27.0,0.7297297297297297,0.9629629629629628,212.14488727760005,7849.360829271202,823.594662197163,,1.5581105788556966,1.1242124690633957,1.1369996115974002
S190,Midday consolidation BO,intraday,Q,midday_breakout,78.0,21.0,0.2692307692307692,1.0,39.61164857877191,3089.7085891442084,inf,,0.8693369601630795,0.4999356413259438,0.2340522585054444
S191,Power hour momentum call,intraday,Q,power_hour,87.0,35.0,0.4022988505747126,0.4,1.2893679177140478,112.17500884112172,1.0566538378841528,,0.048867438703865,-0.181384385020366,0.0196593144210951
S192,Power hour fade put,intraday,Q,power_hour_fade,9.0,9.0,1.0,1.0,356.5263752191877,3208.737376972689,inf,,2.11507449418505,1.8861369251023348,2.11507449418505
S193,10AM reversal call,intraday,Q,ten_am_reversal,15.0,15.0,1.0,0.9333333333333332,138.88031793468258,2083.2047690202385,233.0479930503656,,0.7797301491952502,0.4999879039734373,0.7797301491952502
S194,Lunch lull vol sell,intraday,Q,lunch_lull,39.0,13.0,0.3333333333333333,0.6923076923076923,2.579508378649805,100.60082676734248,1.243944958428277,,0.0455633299448719,0.4545737694260244,0.0151877766482906
S195,Last hour theta short weekly,intraday,Q,power_hour,87.0,0.0,0.0,0.0,0.0,0.0,inf,,0.0,0.0,0.0
S196,Tick imbalance proxy,intraday,Q,tape_imbalance,16.0,2.0,0.125,0.5,-4.649388379429766,-74.39021407087625,0.4686958917764265,,-0.2448278553152826,-0.2448278553152826,-0.0306034819144103
S197,Bid-ask imbalance open,intraday,Q,open_imbalance,65.0,26.0,0.4,0.3076923076923077,-4.401096569220402,-286.0712769993264,0.8390036387978106,,-0.0149640638955738,-0.3301293838666314,-0.0059856255582295
S198,Large opening print follow,intraday,Q,open_print,5.0,0.0,0.0,0.0,0.0,0.0,inf,,0.0,0.0,0.0
S199,UOA call sweep follow,flow_sentiment,Q,uoa_call,3.0,0.0,0.0,0.0,0.0,0.0,inf,,0.0,0.0,0.0
S201,PCR contrarian bullish,flow_sentiment,Q,pcr_high,35.0,35.0,1.0,0.4,3.20500025260349,112.17500884112172,1.0566538378841528,,0.048867438703865,-0.181384385020366,0.048867438703865
