strategy_id,strategy_name,category,symbol,signal,signals,filled,fill_rate,win_rate,exp_pnl_per_signal,total_pnl,profit_factor,error
S220,Sector correlation cap,risk_overlay,MTDR,gap_down,287.0,210.0,0.8860759493670886,0.4571428571428571,8.078825206303742,1914.6815738939872,1.496180844902835,
S001,Long ATM call,directional_long,MTG,momentum,4823.0,89.0,0.0349980338183248,0.4943820224719101,0.6770733122421302,1721.7974330317368,2.492870960003592,
S002,Long OTM call 5pct,directional_long,MTG,momentum,4823.0,50.0,0.0260416666666666,0.4,0.35275688271868,677.2932148198656,2.2477871393995468,
S003,Long deep OTM call,directional_long,MTG,momentum,4823.0,0.0,0.0,0.0,0.0,0.0,inf,
S004,Long ITM call replacement,directional_long,MTG,momentum,4823.0,145.0,0.0402219140083217,0.4827586206896552,0.5067584850261541,1826.8643385192847,1.7772469843388763,
S005,Long ATM put,directional_long,MTG,breakdown,3946.0,108.0,0.0580645161290322,0.5,0.6884141591207011,1280.450335964504,1.9631662932638936,
S006,Long OTM put hedge,directional_long,MTG,breakdown,3946.0,65.0,0.0424281984334203,0.5692307692307692,0.6994734615193758,1071.593343047684,2.8729810089293437,
S007,Long put crash hedge,directional_long,MTG,breakdown,3946.0,108.0,0.0580645161290322,0.5,0.6884141591207011,1280.450335964504,1.9631662932638936,
S008,Long call MA pullback,directional_long,MTG,pullback_ma,1448.0,21.0,0.0249110320284697,0.3333333333333333,-0.1105248204638392,-93.17242365101654,0.7910893580922063,
S009,Long call vol spike uptrend,directional_long,MTG,volume_spike,452.0,40.0,0.1724137931034483,0.325,1.3965867300435042,324.00812137009297,1.2993035646462954,
S010,Long put support break,directional_long,MTG,breakdown,3946.0,108.0,0.0580645161290322,0.5,0.6884141591207011,1280.450335964504,1.9631662932638936,
S011,Long call RSI oversold,directional_long,MTG,rsi_oversold,972.0,54.0,0.1028571428571428,0.3518518518518518,-0.1730054441400682,-90.82785817353576,0.9333363238099348,
S012,Long put RSI overbought,directional_long,MTG,rsi_overbought,1482.0,54.0,0.0704960835509138,0.3518518518518518,-0.5117563962233703,-392.00539950710174,0.6480025803480836,
S013,Long call MACD bull cross,directional_long,MTG,macd_bull,4823.0,89.0,0.0349980338183248,0.4943820224719101,0.6770733122421302,1721.7974330317368,2.492870960003592,
S014,Long put MACD bear cross,directional_long,MTG,macd_bear,3946.0,108.0,0.0580645161290322,0.5,0.6884141591207011,1280.450335964504,1.9631662932638936,
S015,Long call earnings drift,directional_long,MTG,earnings_positive,1171.0,0.0,0.0,0.0,0.0,0.0,inf,
S016,Long put guidance gap,directional_long,MTG,earnings_negative,166.0,0.0,0.0,0.0,0.0,0.0,inf,
S017,Long call sector leader,directional_long,MTG,sector_leader,585.0,34.0,0.1227436823104693,0.9117647058823528,9.793417735949967,2712.7767128581413,157.28677076922173,
S018,Long put sector laggard,directional_long,MTG,sector_laggard,507.0,28.0,0.1076923076923077,0.7142857142857143,3.794611709980941,986.5990445950443,28.845161250926104,
S019,Long call 52wk high BO,directional_long,MTG,high_52w_break,202.0,0.0,0.0,0.0,0.0,0.0,inf,
S020,Long put 52wk low BD,directional_long,MTG,low_52w_break,24.0,0.0,0.0,0.0,0.0,0.0,inf,
S021,Cash secured short put,directional_short,MTG,support_retest,4823.0,41.0,0.0220548682087143,0.6829268292682927,0.0405520406850864,75.38624363357569,1.206259884093139,
S022,Covered short call,directional_short,MTG,resistance_retest,3946.0,68.0,0.0417177914110429,0.6617647058823529,-0.235533375064743,-383.9194013555312,0.6713312114248118,
S023,Short OTM put high IV,directional_short,MTG,iv_rank_high,1121.0,53.0,0.1274038461538461,0.4528301886792453,-3.4213487695354576,-1423.2810881267503,0.2412907565614489,
S024,Short OTM call covered,directional_short,MTG,iv_rank_high,1121.0,47.0,0.1046770601336302,0.425531914893617,-4.124812183801292,-1852.04067052678,0.1572805379586771,
S028,Short put IV crush post event,directional_short,MTG,post_event_iv,326.0,51.0,0.9272727272727272,0.4705882352941176,-20.24497573290741,-1113.4736653099071,0.3106843816698375,
S029,Short call failed BO,directional_short,MTG,failed_breakout,234.0,37.0,0.902439024390244,0.972972972972973,16.324981083459033,669.3242244218202,1691.492124624166,
S030,Short put failed BD,directional_short,MTG,failed_breakdown,158.0,24.0,1.0,1.0,20.910769320402064,501.8584636896496,inf,
S031,Short premium IV>80,directional_short,MTG,iv_rank_high,1121.0,53.0,0.1274038461538461,0.4528301886792453,-3.4213487695354576,-1423.2810881267503,0.2412907565614489,
S032,Short premium term inverted,directional_short,MTG,term_inverted,1748.0,64.0,0.0955223880597015,0.4375,-2.39306255188182,-1603.351909760819,0.2452988634795275,
